ordinal,date,browser,browserVersion,browserSize,operatingSystem,operatingSystemVersion,isMobile,mobileDeviceBranding,mobileDeviceModel,mobileInputSelector,mobileDeviceInfo,mobileDeviceMarketingName,flashVersion,language,screenColors,screenResolution,deviceCategory,fullVisitorId,continent,subContinent,country,region,metro,city,cityId,networkDomain,latitude,longitude,networkLocation
21,20170824,Android Webview,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,4225525652947139807,Asia,Western Asia,Saudi Arabia,Makkah Province,(not set),Jeddah,,unknown.unknown,,,not available in demo dataset
22,20171120,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2198795567398443202,Americas,Northern America,United States,(not set),(not set),(not set),,(not set),,,not available in demo dataset
23,20180424,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4478704795083257089,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale,,(not set),,,not available in demo dataset
24,20171021,Chrome,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,8616678520568539345,Asia,Southeast Asia,Vietnam,Hanoi,(not set),Hanoi,,unknown.unknown,,,not available in demo dataset
25,20170822,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5396003640321686809,Asia,Southeast Asia,Vietnam,not available in demo dataset,not available in demo dataset,not available in demo dataset,,vdc.vn,,,not available in demo dataset
26,20170829,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,6946162853157216408,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,verizon.net,,,not available in demo dataset
27,20171002,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2539680435703598334,Europe,Western Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
28,20171003,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,245366950602767440,Asia,Central Asia,Kazakhstan,not available in demo dataset,not available in demo dataset,not available in demo dataset,,miras-astana.kz,,,not available in demo dataset
29,20171225,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2529804561125142891,Europe,Southern Europe,Italy,not available in demo dataset,not available in demo dataset,not available in demo dataset,,vodafonedsl.it,,,not available in demo dataset
30,20171010,Android Webview,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,1184096572955564690,(not set),(not set),(not set),(not set),(not set),(not set),,unknown.unknown,,,not available in demo dataset
31,20170920,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,7584371675806474623,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Santa Clara,,(not set),,,not available in demo dataset
32,20180105,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,404651066198515430,Asia,Eastern Asia,South Korea,Seoul,(not set),Seoul,,(not set),,,not available in demo dataset
33,20180203,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,7110403163700292117,Americas,Northern America,United States,New York,New York NY,New York,,(not set),,,not available in demo dataset
34,20171030,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1097787727770629087,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,nyu.edu,,,not available in demo dataset
35,20171025,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2804474369688965415,Europe,Northern Europe,United Kingdom,England,London,London,,unknown.unknown,,,not available in demo dataset
36,20180112,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,1734147222761008802,Europe,Northern Europe,Ireland,not available in demo dataset,not available in demo dataset,not available in demo dataset,,unknown.unknown,,,not available in demo dataset
37,20171002,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,1278326974483099987,Americas,Northern America,United States,Georgia,Atlanta GA,Atlanta,,(not set),,,not available in demo dataset
38,20180210,Android Webview,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,3409549125918331868,Asia,Southern Asia,India,Delhi,(not set),New Delhi,,unknown.unknown,,,not available in demo dataset
39,20171019,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,5501130145379727702,Europe,Western Europe,Germany,not available in demo dataset,not available in demo dataset,not available in demo dataset,,netcologne.de,,,not available in demo dataset
40,20171001,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5813887836294035107,Europe,Eastern Europe,Poland,Masovian Voivodeship,(not set),Warsaw,,netia.com.pl,,,not available in demo dataset
41,20180104,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5848894029993049106,Asia,Southern Asia,Sri Lanka,not available in demo dataset,not available in demo dataset,not available in demo dataset,,unknown.unknown,,,not available in demo dataset
42,20180222,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8370675059401415570,Europe,Northern Europe,United Kingdom,England,London,London,,unknown.unknown,,,not available in demo dataset
43,20180121,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,9298120856914571956,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
44,20180421,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1489997016666351888,Europe,Western Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset,,sfr.net,,,not available in demo dataset
45,20170824,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,924316665924561940,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,myfairpoint.net,,,not available in demo dataset
46,20180331,Firefox,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,7009743098299046966,Americas,Northern America,United States,Texas,Austin TX,Austin,,northamericancoax.com,,,not available in demo dataset
47,20180119,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,6247254201253250044,Asia,Eastern Asia,Japan,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
48,20180423,Internet Explorer,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,3836176254258569552,Asia,Eastern Asia,Japan,not available in demo dataset,not available in demo dataset,not available in demo dataset,,kddi.ne.jp,,,not available in demo dataset
49,20180302,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4193845478182104430,Americas,Northern America,Canada,not available in demo dataset,not available in demo dataset,not available in demo dataset,,xplornet.com,,,not available in demo dataset
50,20170926,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,4030733942438015788,Americas,Northern America,United States,New York,New York NY,New York,,(not set),,,not available in demo dataset
51,20170908,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2370403272028411883,Asia,Eastern Asia,Japan,not available in demo dataset,not available in demo dataset,not available in demo dataset,,au-net.ne.jp,,,not available in demo dataset
52,20170828,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,3387162846722452248,Americas,Northern America,United States,New York,New York NY,New York,,(not set),,,not available in demo dataset
53,20171115,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4891728385997039291,Americas,Northern America,United States,Washington,Seattle-Tacoma WA,Kirkland,,(not set),,,not available in demo dataset
54,20180124,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8029447584052574608,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,unknown.unknown,,,not available in demo dataset
55,20171205,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4664337127190222531,Europe,Western Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset,,bbox.fr,,,not available in demo dataset
56,20170830,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2766162501835274072,Americas,Northern America,United States,New York,New York NY,New York,,rcn.com,,,not available in demo dataset
57,20170814,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,837670981975006125,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,as15108.com,,,not available in demo dataset
58,20171212,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,5759846381713983920,Americas,Northern America,United States,Florida,Orlando-Daytona Beach-Melbourne FL,Orlando,,(not set),,,not available in demo dataset
59,20171204,Firefox,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1134183932819630667,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,rr.com,,,not available in demo dataset
60,20180312,Chrome,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8602594235492585913,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View,,purechat.com,,,not available in demo dataset
61,20180411,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8049254118085711570,Europe,Western Europe,France,Auvergne-Rhone-Alpes,(not set),Lyon,,completel.net,,,not available in demo dataset
62,20171026,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2096515589975943433,Europe,Western Europe,Netherlands,not available in demo dataset,not available in demo dataset,not available in demo dataset,,direct-adsl.nl,,,not available in demo dataset
63,20171117,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,419463020086082484,Europe,Southern Europe,Albania,not available in demo dataset,not available in demo dataset,not available in demo dataset,,mod.gov.al,,,not available in demo dataset
64,20171112,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,9457768635729821285,Asia,Southeast Asia,Singapore,(not set),(not set),(not set),,m1net.com.sg,,,not available in demo dataset
65,20171117,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,347827118672072804,Americas,Northern America,United States,Wisconsin,Madison WI,Madison,,lstn.net,,,not available in demo dataset
66,20170829,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,7170147338737198019,Europe,Western Europe,Germany,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
67,20170916,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,6765767542475124691,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,rr.com,,,not available in demo dataset
68,20171030,Firefox,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,9888214548521855630,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,rr.com,,,not available in demo dataset
69,20180223,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,7805274372099053714,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,(not set),Kuala Lumpur,,unknown.unknown,,,not available in demo dataset
70,20171022,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2957759280647050235,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,(not set),Kuala Lumpur,,unknown.unknown,,,not available in demo dataset
